gamma,mean_terminal_pnl,std_terminal_pnl,mean_max_abs_inventory,mean_sharpe_like_ratio,mean_total_fills
0.01,2.2917693832524595,3.05723440125526,1.85,1.8756874720809418,3.57
0.0358,2.3180313961407752,2.8951594586028238,1.745,1.9325669745989902,3.49
0.0616,2.388243610979538,2.7182827628883266,1.635,2.0059970976068735,3.39
0.0874,2.4392849140655444,2.550523953182807,1.555,2.099462618588119,3.375
0.1132,2.391481830193315,2.3476312325708286,1.47,2.177667699511032,3.265
0.1389,2.37132305932771,2.3153348669375133,1.44,2.215688447072162,3.225
0.1647,2.367693057690626,2.2484559071245123,1.38,2.2523250360437586,3.185
0.1905,2.4092273659646217,2.264997258904628,1.32,2.3424903885416044,3.17
0.2163,2.369923328098783,2.203711054015179,1.285,2.324064877084414,3.11
0.2421,2.295380499842835,2.0925023759428694,1.24,2.3517046216393513,3.06
0.2679,2.2484789248932766,2.0422041430343674,1.215,2.3523099825382014,2.98
0.2937,2.2367623168808635,2.009876821979323,1.18,2.374183610172455,2.975
0.3195,2.1650722176108426,1.856814276354832,1.145,2.3554186881939057,2.935
0.3453,2.1782678656161973,1.8384540359273702,1.135,2.3661223401548397,2.9
0.3711,2.149304043537852,1.7807145522978147,1.11,2.3933700101520623,2.84
0.3968,2.0779008516246056,1.7548801730733385,1.09,2.355465805689102,2.76
0.4226,2.0190252150882047,1.7125034382333804,1.06,2.3694555891504776,2.7
0.4484,1.9776377740824147,1.7099327769015062,1.035,2.317254596691115,2.64
0.4742,1.934900774169372,1.692343992992112,1.02,2.3149808807610173,2.59
0.5,1.922616780756037,1.6676182092184975,1.02,2.3225087082764144,2.575
