parameter,value,strategy,mean_terminal_pnl,std_terminal_pnl,mean_path_pnl_std,mean_max_abs_inventory,mean_sharpe_like_ratio,mean_total_fills
gamma,0.01,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.01,AvellanedaStoikov,2.3462742585350815,2.500078135889936,1.0819817544258838,1.76,1.9408098616439975,3.53
gamma,0.05,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.05,AvellanedaStoikov,2.291572824207585,2.404102325555477,1.0293255426163643,1.67,1.9863470400886418,3.45
gamma,0.1,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.1,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
gamma,0.2,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.2,AvellanedaStoikov,2.347071443884462,1.9283258995717782,0.8980818858656606,1.29,2.381467331101269,3.1
gamma,0.5,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.5,AvellanedaStoikov,1.9800276280508922,1.5893422918702065,0.7389412768981726,1.04,2.420427770616547,2.64
sigma,1.0,FixedSpread,2.157388720426102,1.5685667728042205,0.8421784729712836,2.16,2.37261544449892,4.58
sigma,1.0,AvellanedaStoikov,2.3536928892009703,1.6431551158672226,0.8668003990646974,1.74,2.4788080628768556,3.59
sigma,1.5,FixedSpread,2.091083080639137,2.0602052445495525,0.9710344583548955,2.16,1.972442346321414,4.58
sigma,1.5,AvellanedaStoikov,2.345011837047947,1.983892550360045,0.9199308223998259,1.66,2.279038180000125,3.5
sigma,2.0,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
sigma,2.0,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
sigma,3.0,FixedSpread,1.8921661612782936,3.7912728351632063,1.4894815729756794,2.16,1.2183312294832704,4.58
sigma,3.0,AvellanedaStoikov,2.324889566877786,2.507150025693318,1.0258464329737158,1.25,2.031860850436227,2.91
sigma,4.0,FixedSpread,1.7595548817043885,5.010748045931086,1.8787022557194577,2.16,0.9604117306241068,4.58
sigma,4.0,AvellanedaStoikov,2.2315328020386294,2.596846966407691,1.0303494497882815,1.1,1.9480920020786956,2.68
A,2.0,FixedSpread,0.9560014847295929,1.992026806600255,0.6846358131520262,1.29,1.1737232540466334,1.94
A,2.0,AvellanedaStoikov,1.0703558240316056,1.586834749168013,0.5444261357547312,0.9,1.425670837953687,1.35
A,5.0,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
A,5.0,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
A,8.0,FixedSpread,3.332449423017085,3.957384452741469,1.623419166134268,2.76,2.088275602826185,7.25
A,8.0,AvellanedaStoikov,3.456559523812876,2.520266487926081,1.2881258730274234,1.81,2.449771619508756,5.15
A,12.0,FixedSpread,4.751442227424762,4.778290255194162,2.096455023581721,3.61,2.360782591035209,10.6
A,12.0,AvellanedaStoikov,5.4451332512004225,2.928210867198691,1.8208915241924957,2.11,2.9203722068931426,7.78
k,0.5,FixedSpread,3.464699887801798,4.002614296961388,1.6470936021258882,2.82,2.108901822361143,7.42
k,0.5,AvellanedaStoikov,7.044909509523973,4.18359218016155,2.4442359936007185,1.79,2.7353849081402344,3.73
k,1.0,FixedSpread,2.5275254980017414,3.669494541794732,1.3913126664778235,2.51,1.8787700337278708,5.79
k,1.0,AvellanedaStoikov,3.4792197979918984,2.71255952151327,1.3116222218162394,1.61,2.3979668695809075,3.46
k,1.5,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
k,1.5,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
k,2.0,FixedSpread,1.6661063239024554,2.442358393178674,0.9590716715689908,1.8,1.626267192596898,3.55
