parameter,value,strategy,mean_terminal_pnl,std_terminal_pnl,mean_path_pnl_std,mean_max_abs_inventory,mean_sharpe_like_ratio,mean_total_fills
gamma,0.01,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.01,AvellanedaStoikov,2.3462742585350815,2.500078135889936,1.0819817544258838,1.76,1.9408098616439975,3.53
gamma,0.05,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.05,AvellanedaStoikov,2.291572824207585,2.404102325555477,1.0293255426163643,1.67,1.9863470400886418,3.45
gamma,0.1,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.1,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
gamma,0.2,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.2,AvellanedaStoikov,2.347071443884462,1.9283258995717782,0.8980818858656606,1.29,2.381467331101269,3.1
gamma,0.5,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
gamma,0.5,AvellanedaStoikov,1.9800276280508922,1.5893422918702065,0.7389412768981726,1.04,2.420427770616547,2.64
