parameter,value,strategy,mean_terminal_pnl,std_terminal_pnl,mean_path_pnl_std,mean_max_abs_inventory,mean_sharpe_like_ratio,mean_total_fills
k,0.5,FixedSpread,3.464699887801798,4.002614296961388,1.6470936021258882,2.82,2.108901822361143,7.42
k,0.5,AvellanedaStoikov,7.044909509523973,4.18359218016155,2.4442359936007185,1.79,2.7353849081402344,3.73
k,1.0,FixedSpread,2.5275254980017414,3.669494541794732,1.3913126664778235,2.51,1.8787700337278708,5.79
k,1.0,AvellanedaStoikov,3.4792197979918984,2.71255952151327,1.3116222218162394,1.61,2.3979668695809075,3.46
k,1.5,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
k,1.5,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
k,2.0,FixedSpread,1.6661063239024554,2.442358393178674,0.9590716715689908,1.8,1.626267192596898,3.55
k,2.0,AvellanedaStoikov,1.7113803990167935,1.716035791291161,0.7617638442598098,1.4,1.9267115520634277,3.14
k,3.0,FixedSpread,0.9371004548272639,2.1257479441094635,0.7223589805741473,1.37,1.1837671568574988,2.15
k,3.0,AvellanedaStoikov,1.2068978170026183,1.5901591030700981,0.6092214504402333,1.26,1.7565304193627815,2.97
