parameter,value,strategy,mean_terminal_pnl,std_terminal_pnl,mean_path_pnl_std,mean_max_abs_inventory,mean_sharpe_like_ratio,mean_total_fills
sigma,1.0,FixedSpread,2.157388720426102,1.5685667728042205,0.8421784729712836,2.16,2.37261544449892,4.58
sigma,1.0,AvellanedaStoikov,2.3536928892009703,1.6431551158672226,0.8668003990646974,1.74,2.4788080628768556,3.59
sigma,1.5,FixedSpread,2.091083080639137,2.0602052445495525,0.9710344583548955,2.16,1.972442346321414,4.58
sigma,1.5,AvellanedaStoikov,2.345011837047947,1.983892550360045,0.9199308223998259,1.66,2.279038180000125,3.5
sigma,2.0,FixedSpread,2.0247774408521906,2.6124097989457167,1.1290473821111722,2.16,1.6525605107223265,4.58
sigma,2.0,AvellanedaStoikov,2.3240284900442587,2.1467133269898904,0.9668031596285195,1.49,2.1636586922681214,3.3
sigma,3.0,FixedSpread,1.8921661612782936,3.7912728351632063,1.4894815729756794,2.16,1.2183312294832704,4.58
sigma,3.0,AvellanedaStoikov,2.324889566877786,2.507150025693318,1.0258464329737158,1.25,2.031860850436227,2.91
sigma,4.0,FixedSpread,1.7595548817043885,5.010748045931086,1.8787022557194577,2.16,0.9604117306241068,4.58
sigma,4.0,AvellanedaStoikov,2.2315328020386294,2.596846966407691,1.0303494497882815,1.1,1.9480920020786956,2.68
